address,qualified_name,tier,size,candidate,classification,reason,checker_result,checker_summary
0x00493638,pml::pokepara::CoreParam::GetWazaNo,0,8,analysis/reagent/candidates/0x00493638/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,"Logic matches, but the return type does not match the 64-bit Ghidra signature."
0x00318034,pml::pokepara::EvolveManager::EvolveManager,0,12,analysis/reagent/candidates/0x00318034/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,The reversed constructor assigns the wrong value to the wrong location.
0x0031AECC,pml::pokepara::CoreParam::SetLangId,0,12,analysis/reagent/candidates/0x0031AECC/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,One call argument does not match the Ghidra decompilation exactly.
0x0043A77C,Savedata::UnionPokemon::GetPokemon,0,16,analysis/reagent/candidates/0x0043A77C/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,"The call matches, but the `this + 4` offset is not expressed correctly for byte-accurate pointer arithmetic."
0x004935AC,pml::pokepara::CoreParam::GetMonsNo,0,8,analysis/reagent/candidates/0x004935AC/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,"The logic is likely equivalent, but the reversal does not explicitly preserve the Ghidra-level offset load and callee identity."
0x0043B008,Savedata::BattleInstSave::GetBattleBgm,0,8,analysis/reagent/candidates/0x0043B008/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,The reversed code does not preserve the byte offset access used by the Ghidra output.
0x0043EBAC,Savedata::JoinFestaDataSave::GetFacilitiesLotterySeed,0,8,analysis/reagent/candidates/0x0043EBAC/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,The reversed code does not match the fixed 0x20-byte offset used by the binary.
0x004A7CD8,Savedata::Misc::GetBP,0,8,analysis/reagent/candidates/0x004A7CD8/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,The reversed code does not preserve the byte-offset access used by the original function.
0x004A7D14,Savedata::Misc::GetGold,0,8,analysis/reagent/candidates/0x004A7D14/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,The reversed code reads the wrong offset and does not match the Ghidra access at byte offset 8.
0x00439904,Savedata::ResortSave::SetBeansIvyHiddenTimeDownCount,0,12,analysis/reagent/candidates/0x00439904/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,"The control flow is close, but the function signature, field mapping, and return handling do not match Ghidra."
0x004A8408,Savedata::MyStatus::HasMegaRing,0,12,analysis/reagent/candidates/0x004A8408/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,The reversed function does not preserve the explicit struct offset or return type from Ghidra.
0x00438020,Savedata::ResortSave::SetUpdateFlg,0,16,analysis/reagent/candidates/0x00438020/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,The reversed code captures the assignment but does not match the exact Ghidra memory write at offset 0x55d6.
0x004380C0,Savedata::ResortSave::SetBonusLevel,0,16,analysis/reagent/candidates/0x004380C0/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,"The reversed code copies a field, but Ghidra shows a full-object assignment to offset 0x5674."
0x0043EFD4,Savedata::JoinFestaDataSave::SetIsSkipMessageHorrorHouse,0,16,analysis/reagent/candidates/0x0043EFD4/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,"The assignment matches at a high level, but the reversed signature/type handling is not faithful to the Ghidra setter."
0x004415D8,Savedata::Misc::SetEventFirstCheck,0,16,analysis/reagent/candidates/0x004415D8/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,The reversed code does not match the decompiled memory access exactly.
0x004A81A0,Savedata::GameTime::GetStartSec,0,16,analysis/reagent/candidates/0x004A81A0/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,Return type and load width do not match the Ghidra logic.
0x004A8530,Savedata::MyStatus::GetTransferdID,0,16,analysis/reagent/candidates/0x004A8530/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,"The reversed code matches the field read conceptually, but it does not preserve the Ghidra pointer semantics or named-member mapping."
0x004A8664,Savedata::MyStatus::GetPssPersonalDataStoreId,0,16,analysis/reagent/candidates/0x004A8664/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,The reversed code matches the field access pattern but not the returned width or type from Ghidra.
0x00443498,Savedata::GtsData::SetUploadGtsIndexData,0,12,analysis/reagent/candidates/0x00443498/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,Return value and function signature do not match the Ghidra decompilation.
0x00443CE4,Savedata::MyStatus::CopyFrom,0,16,analysis/reagent/candidates/0x00443CE4/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,The destination offset is mistranslated and the reversed body does not match the decompiled pointer arithmetic exactly.
0x004439AC,Savedata::MyStatus::SetNexUniqueID,0,8,analysis/reagent/candidates/0x004439AC/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,"Body and offsets match, but the reversed signature is missing the unused `param_2` present in the ground truth."
0x00443AD8,Savedata::MyStatus::SetPssPersonalDataStoreId,0,8,analysis/reagent/candidates/0x00443AD8/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,"The body matches, but the reversed signature drops one ground-truth parameter."
0x0045C130,NetAppLib::Util::NetAppEntryChecker::CheckTradePenalty,0,12,analysis/reagent/candidates/0x0045C130/attempt-1.cpp,RED,CHECKER_REJECTED,FAIL,"The function body matches the call, but the reversed code adds an unnecessary local assignment not present in Ghidra."
