target_address,target_offset,proposed_name,original_name_claim,namespace,prototype,category,confidence,evidence_type,source_repo,source_file,source_address,source_version,expected_bytes,signature,validated_on_target,validation_method,notes
0x00104DE0,0x00004DE0,nn::cfg::CTR::IsDebugMode,yes,nn::cfg::CTR,byte IsDebugMode(void),SDK configuration,SIGNATURE_CONFIRMED,claimed symbol plus exact prologue and decompilation,SciresM/SunMoonPatches,FunctionStubs.s,0x00104DE0,SM 1.0,6C009FE51400D0E5,6C009FE51400D0E5,yes,exact target bytes and whole-code SHA-256,Ghidra initially named FUN_00104de0
0x001048B4,0x000048B4,gfl2::base::SingletonAccessor<GameSys::GameManager>::GetInstance,yes,gfl2::base,undefined4 GetInstance(void),game manager,CONFIRMED_SYMBOL,CTR named export plus patch research,SciresM/SunMoonPatches,InjectPokemonToBox.s,0x001048B4,SM 1.0,,,yes,CTR export and exact target version,Existing Ghidra name GetInstance
0x00358E40,0x00258E40,gfl2::math::Crc::Crc16,yes,gfl2::math,uint Crc16(Crc *this byte *data uint length),QR utility,CONFIRMED_SYMBOL,CTR named export plus patch call target,SciresM/SMPatcher,SMPatcher/Program.cs,0x00358E40,SM 1.0,,,yes,CTR export and exact target version,Existing Ghidra name Crc16
0x003CD558,0x002CD558,QRDecrypt_Related_003CD558,no,,undefined4 function(uint *in uint len uint *out int *utility int type),QR subsystem,BEHAVIOR_CONFIRMED,hook site and decompiled signature,SciresM/SunMoonPatches,QRDecryptionHook.s,0x003CD558,SM 1.0,F0412DE928D04DE2,F0412DE928D04DE2,yes,exact target bytes and enclosing function,DecryptQRCode is a researcher semantic name
0x003CD8A4,0x002CD8A4,NetApp::QR::QRUtility::AnalyzeQRBinaryForApp,yes,NetApp::QR,undefined4 AnalyzeQRBinaryForApp(int *this uint *data int size CoreParam *core bool *out),QR subsystem,CONFIRMED_SYMBOL,CTR named export plus exact hook context,SciresM/SunMoonPatches,InjectionQRHook.s,0x003CD8A4,SM 1.0,FF4F2DE97CD04DE20080A0E1,FF4F2DE97CD04DE20080A0E1,yes,CTR export exact bytes and decompilation,Prototype needs later type refinement
0x0039D140,0x0029D140,FieldCollision_Related_0039D140,no,,,field collision,BEHAVIOR_CONFIRMED,reversible walk-through-walls patch,AnalogMan151/sumoCheatMenu,Sources/movement_modifiers.c,0x0039D140,SM 1.0,E7E701EB,E7E701EB,yes,exact target instruction,BL target 0x004170E4
0x0039D274,0x0029D274,FieldCollision_Related_0039D274,no,,,field collision,BEHAVIOR_CONFIRMED,reversible walk-through-walls patch,AnalogMan151/sumoCheatMenu,Sources/movement_modifiers.c,0x0039D274,SM 1.0,9AE701EB,9AE701EB,yes,exact target instruction,BL target 0x004170E4
0x0041B744,0x0031B744,SetEdgeMapTexture,yes,,,rendering,CONFIRMED_SYMBOL,CTR named export and no-outline site,SciresM/SMPatcher,SMPatcher/Program.cs,0x0041B748,SM 1.0,042080E5,042080E5,yes,CTR export exact patch-site bytes,No-outline site is function+4
0x0043DA80,0x0033DA80,Savedata::QRReaderSaveData::BatteryQuery,yes,Savedata::QRReaderSaveData,QRReaderSaveData BatteryQuery(QRReaderSaveData *this),QR savedata,CONFIRMED_SYMBOL,CTR named export plus source declaration,SciresM/SunMoonPatches,FunctionStubs.s,0x0043DA80,SM 1.0,F0402DE914D04DE20040A0E1,F0402DE914D04DE20040A0E1,yes,CTR export exact bytes and decompilation,Charge byte is this+0x0A
0x0043DAA8,0x0033DAA8,IslandScanWait_Related_0043DAA8,no,,,QR gameplay,BEHAVIOR_CONFIRMED,cheat patch,AnalogMan151/sumoCheatMenu,Sources/qr_codes.c,0x0043DAA8,SM 1.0,00DBFEEB,00DBFEEB,yes,exact target instruction,Inside BatteryQuery; do not rename function from cheat label
0x00444A68,0x00344A68,Savedata::Sodateya::IsEggExist,yes,Savedata::Sodateya,int IsEggExist(Sodateya *this int id),daycare,CONFIRMED_SYMBOL,CTR named export and exact patch context,AnalogMan151/sumoCheatMenu,Sources/pokemon_modifiers.c,0x00444A6C,SM 1.0,1E0E80E2D000D0E11EFF2FE1,1E0E80E2D000D0E11EFF2FE1,yes,CTR export exact bytes and decompilation,Reads this[id*0x200+0x1E0]
