address,previous_name,new_name,confidence,evidence,source,result
0x00104DE0,FUN_00104de0,IsDebugMode,SIGNATURE_CONFIRMED,Exact Moon v1.0 hash plus target prologue and decompilation,SciresM/SunMoonPatches,renamed and plate-commented
0x0039D140,FUN_0039d100,FUN_0039d100,BEHAVIOR_CONFIRMED,Exact collision-related BL bytes,AnalogMan151/sumoCheatMenu,bookmark and EOL comment only
0x0039D274,FUN_0039d200,FUN_0039d200,BEHAVIOR_CONFIRMED,Exact collision-related BL bytes,AnalogMan151/sumoCheatMenu,bookmark and EOL comment only
0x0041B748,SetEdgeMapTexture,SetEdgeMapTexture,BEHAVIOR_CONFIRMED,Exact no-outline patch-site bytes,SciresM/SMPatcher,bookmark only
0x0043DAA8,BatteryQuery,BatteryQuery,BEHAVIOR_CONFIRMED,Exact Island Scan wait patch-site bytes,AnalogMan151/sumoCheatMenu,bookmark only
0x004919E0,FUN_004919bc,FUN_004919bc,BEHAVIOR_CONFIRMED,Exact instant-hatch hook-site bytes,AnalogMan151/sumoCheatMenu,bookmark and EOL comment only
0x00316B90,FUN_00316b90,FUN_00316b90,BEHAVIOR_CONFIRMED,Complete breeding mechanics data-flow analysis,local Phase 2 analysis,plate comment only; original name unknown
0x0031747C,FUN_0031747c,FUN_0031747c,BEHAVIOR_CONFIRMED,Parent normalization and egg setup call graph,local Phase 2 analysis,plate comment only; original name unknown
0x00317C94,FUN_00317c94,FUN_00317c94,BEHAVIOR_CONFIRMED,Sole EggAdopt caller and exact construction wrapper flow,local Phase 2 analysis,plate comment only; original name unknown
0x00358FA4,Initialize,Initialize,ALGORITHM_CONFIRMED,Exact 16-byte state and TinyMT parameter layout,local Phase 2 analysis,prototype changed to RandomTinyMT pointer plus State aggregate
0x003590D8,Next,Next,ALGORITHM_CONFIRMED,Exact TinyMT transition plus unsigned remainder,local Phase 2 analysis,prototype changed to RandomTinyMT pointer plus uint limit
0x00359158,FUN_00359158,RandomNext32_TinyMT,ALGORITHM_CONFIRMED,Exact standard TinyMT32 transition and tempering,local Phase 2 analysis,AI semantic rename plus prototype and provenance plate comment
0x003591D4,SaveState,SaveState,ALGORITHM_CONFIRMED,Exact hidden structure-return ABI and four-word copy,local Phase 2 analysis,prototype changed to RandomState aggregate return
0x00385AB8,EggAdopt,EggAdopt,BEHAVIOR_CONFIRMED,Complete capacity RNG construction and cleanup flow,local Phase 2 analysis,plate comment only
0x00444BFC,EggClear,EggClear,ALGORITHM_CONFIRMED,Exact daycare offsets and TinyMT sequence,local Phase 2 analysis,plate comment only
